Data;Aktywnoœæ;ID;Wejœcia;Podstawa;Pozycja;Km CAN;Wyjœcia;RPM CAN;Prêdkoœæ CAN;Poziom Paliwa;Licznika paliwa CAN;Kierowca 1;Kierowca 2;Zamek naczepy;Debug;ANA1;ANA2;Identycikacja1;Identycikacja2;Termometr 1;Termometr 2;Termometr 1,2 x10;Termometr 3;Termometr 3,4 x10;Tech Stat;Licznik We 11;VIN Naczepy
13-06-2023 00:00:38;C;431103 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:02:07;C;431104 ;;SQ:31 (23430) SAT:0 v:91 25.9V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:03:38;C;431105 ;;SQ:31 (23430) SAT:0 v:91 25.9V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:05:07;C;431106 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:06:38;C;431107 ;;SQ:31 (23430) SAT:0 v:91 25.9V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:08:07;C;431108 ;;SQ:31 (23430) SAT:0 v:91 25.9V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:09:38;C;431109 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:11:08;C;431110 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:12:38;C;431111 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:14:08;C;431112 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:15:38;C;431113 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:17:08;C;431114 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:18:38;C;431115 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
